engineSize,horsepower,cylinders,fuelConsumption,co2
1.6,120,4,6.5,
1100,180,3,1156.42,
5,120,2,9.35,
1200,2000,2,1280.53,
100,200,400,219.08,
1000,200,2,1051.69,
1,70,3,5.2,
1.2,85,4,5.5,
1.4,90,4,5.8,
1.6,110,4,6.2,
1.8,120,4,6.5,
2,150,4,7,
2.2,160,4,7.4,
2.5,180,6,8.2,
3,220,6,9.5,
3.2,250,6,10,
3.5,280,6,10.5,
4,300,8,12,
4.2,320,8,12.5,
5,400,8,14,
1,70,3,5.2,
1.2,85,4,5.5,
1.4,90,4,5.8,
1.6,110,4,6.2,
1.8,120,4,6.5,
2,150,4,7,
2.2,160,4,7.4,
2.5,180,6,8.2,
3,220,6,9.5,
3.2,250,6,10,
3.5,280,6,10.5,
4,300,8,12,
4.2,320,8,12.5,
5,400,8,14,
1,70,3,5.2,
1.2,85,4,5.5,
1.4,90,4,5.8,
1.6,110,4,6.2,
1.8,120,4,6.5,
2,150,4,7,
2.2,160,4,7.4,
2.5,180,6,8.2,
3,220,6,9.5,
3.2,250,6,10,
3.5,280,6,10.5,
4,300,8,12,
4.2,320,8,12.5,
5,400,8,14,
